class,problem,code,answer
8,한 변의 길이가 24cm인 정육각형과 같은 원주의 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이를 cm로 구합니다.,"a = 24
b = 6
c = 8
y = a * b / c
print(y)",18
1,윤아는 부추전을 8등분하여 1개 먹었습니다. 윤미는 같은 크기의 부추전을 16등분했다. 윤아와 같은 양을 먹으려면 윤아는 몇 개 먹어야 하나요?,"a = 8
b = 16
y = b / a
print(y)",2
8,화단 주위에 12m 팔각형 울타리를 놓으면 모든 울타리는 몇 미터입니까?,"a = 12
b = 8
y = a * b
print(y)",96
3,"0, 9, 8, 7, 2, 1의 6장의 숫자 카드가 있습니다. 한 번 사용하여 최대 6자리 숫자를 만듭니다.","from itertools import permutations

a = ['0', '9', '8', '7', '2', '1']
y = max(list(map(''.join, permutations(a, 6))))
print(y)",987210
1,0.26 x0.8을 계산합니다.,"a = 0.26
b = 0.8
y = a * b
print(y)",0.21
7,"현수 집에서 미용실, 병원, 백화점까지의 거리는 각각 4/5km, 1/3km, 0.9km입니다. 현수 집에 가장 가까운 곳은 어디입니까?","a = 4 / 5
b = 1 / 3
c = 0.9
dicts = {'미용실': a, '병원': b, '백화점': c}
y = min(dicts, key=dicts.get)
print(y)",병원
6,"숫자를 실수로 9로 나눈 경우, 몫은 9였다. 제대로 계산되면 그 양을 확인하십시오.","a = 3
b = 9
c = 9
y = c * b / a
print(y)",27
1,"나운 그룹과 동인 그룹이 열차를 공유했다. 나운 그룹 8명이 15인승 차량에 탑승했고, 동인 그룹 6명이 11인승 차량에 탑승했다. 그룹 열차 승객 그룹 내에서 더 널리 느껴질 수 있는 인원수를 찾습니다.","a = 8
b = 15
c = 6
d = 11

dicts = {a: b/a, c: d/c}
y = max(dicts, key=dicts.get)
print(y)",0.55
7,"수정의 색연필 길이는 6.1cm, 볼펜 길이는 6.5cm입니다. 둘 중 어느 것이 긴가?","dicts = {""색연필"": 6.1, ""볼펜"": 6.5}
y = max(dicts, key=dicts.get)
print(y)",볼펜
1,12대의 모든 자전거에 바퀴가 몇 개 있는지 알아보세요.,"a = 2
b = 12
y = a * b
print(y)",24
1,진호의 줄자 길이는 6m15cm이고 두은 줄자 길이는 0.25m입니다. Jinho와 Dueun이 가진 줄자 길이의 합계를 센티미터로 찾습니다.,"a = (6 * 100) + 15
b = (0.25 * 100)
y = a + b
print(y)",640
1,영화는 5시에 시작하여 4시간 동안 계속되었습니다. 영화는 몇시에 끝나는가?,"a = 5
b = 4
y = a + b
print(y)",9
1,현유는 하루 10L의 물을 사용합니다. 수압 밸브를 약하게 조정하면 일반 0.3배의 물을 절약할 수 있습니다. 수압 밸브 조정이 약한 경우 현유는 하루에 몇 리터의 물을 절약할 수 있습니까?,"a = 10
b = 0.3
y = a * b
print(y)",3
1,숫자에 3을 곱하여 15를 얻는 경우 그 숫자는 무엇입니까?,"a = 15
b = 3
y = a / b
print(y)",5
8,그 네 변의 길이의 합계가 40 미터와 같은 정사각형이 있습니다. 그 안에 그릴 수 있는 최대 원의 cm² 단위의 영역을 찾습니다. (원주:3.14),"a = 40
b = 4
c = a / b
d = 3.14
y = (c / 2) ** 2 * d
print(y)",78.50
8,"정사각형의 1변의 길이를 4변의 길이의 합계로 88 cm로 하면, 어느 정도의 길이가 됩니까?","a = 88
y = a / 4
print(y)",22
5,수진은 빵을 5등분하고 하나 먹었다. 미에는 같은 크기의 빵을 20개로 나누었습니다. 정희와 같은 양을 먹기 위해 미에가 몇 먹어야 하는지 알아보세요.,"a = 5
b = 1
c = 20
y = b * c / a
print(y)",4
4,16. 20.35와 17에서 요인의 수가 가장 많은 수의 약수를 찾습니다.,"a = [16, 20, 35, 17]
b = []
y = 0
for i in a:
    c = 0
    for t in range(1, i + 1):
        if i % t == 0:
            c += 1
    b.append(c)
y = max(b)
print(y)",6
6,숫자에 5를 곱하고 9로 나누어 3을 얻는 것을 잘못했습니다. 올바르게 계산하십시오.,"a = 5
b = 9
c = 3
y = (c * b) * a
print(y)",135
8,원 A의 직경은 20cm입니다. 원 B의 직경은 원 A의 반경과 동일합니다. 원 A의 반경과 원 B의 반경의 센티미터의 차이는 무엇입니까?,"a = 20
b = a / 2
y = a / 2 - b / 2
print(y)",5
4,"53, 19, 43 및 6 중에서 최대 수와 최소 수의 곱을 찾습니다.","a = [53, 19, 43, 6]
b = max(a)
c = min(a)
y = b * c
print(y)",318
5,"민우의 가족은 사과를 선택했습니다. 형은 4.3kg 체중이 늘었고, 언니는 형보다 6.2kg 체중이 늘었습니다. 민우의 무게가 고구마 통조림의 0.2% 이상 3310g라고 하면, 고구마 민우 통조림은 몇 킬로그램?","a = 4.3
b = 6.2
c = a + b
d = 0.2
e = 3.31
y = e + c * d
print(y)",5.41
1,4장의 금화의 무게는 22.5g입니다. 금화 그램으로 무게를 찾습니다.,"a = 4
b = 22.5
y = b / a
print(y)",5.62
1,1분에 20km 달리는 기차와 10분에 5km 달리는 버스가 있습니다. 각각이 같은 속도로 50분간 이동하면 기차는 버스보다 몇 킬로미터 이동할 수 있습니까?,"a = 1
b = 20
c = 10
d = 5
e = 50
y = (e / a * b) - (e / c * d)
print(y)",750
5,30을 5로 나누고 3에서 3을 뺀 것에 2를 곱한 것이 12이면 그 숫자는 얼마입니까?,"a = 30
b = 5
c = 3
d = 2
e = 12
y = (e / d + c) * b - a
print(y)",15
