class,problem,code,answer
8,한 변의 길이가 24cm인 정육각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이를 cm로 구하십시오.,"a = 24
b = 6
c = 8
y = a * b / c
print(y)",18
1,윤아는 부추전을 8등분해서 한조각 먹었다. 윤미는 부추전을 같은 크기로 16등분했다. 윤미가 윤아와 같은 양을 먹으려면 몇 조각을 먹어야 할까?,"a = 8
b = 16
y = b / a
print(y)",2
8,화단 둘레에 12m 옆 팔각형 울타리를 놓으면 울타리가 모두 몇 m가 될까요?,"a = 12
b = 8
y = a * b
print(y)",96
3,"0, 9, 8, 7, 2, 1의 6가지 숫자 카드가 있습니다. 한 번 사용하여 가장 큰 6자리 숫자를 만드세요.","from itertools import permutations

a = ['0', '9', '8', '7', '2', '1']
y = max(list(map(''.join, permutations(a, 6))))
print(y)",987210
1,0.26 x 0.8을 계산합니다.,"a = 0.26
b = 0.8
y = a * b
print(y)",0.21
7,"현수의 집에서 미용실, 병원, 백화점까지의 거리는 각각 4/5km, 1/3km, 0.9km입니다. 현수 집에서 가장 가까운 곳은 어디인가요?","a = 4 / 5
b = 1 / 3
c = 0.9
dicts = {'미용실': a, '병원': b, '백화점': c}
y = min(dicts, key=dicts.get)
print(y)",병원
6,숫자를 실수로 9로 나누었을 때 몫은 9였습니다. 올바르게 계산했다면 얼마인지 알아보세요.,"a = 3
b = 9
c = 9
y = c * b / a
print(y)",27
1,"나은 일행과 도진 일행이 함께 기차를 타게 됐다. 나은이 일행 8명이 15인승 차에 탔고, 도진 일행 6명이 11인승 차에 탔다. 더 넓다고 느꼈을 그룹의 기차 승객에 대한 그룹의 사람 수를 찾으십시오.","a = 8
b = 15
c = 6
d = 11

dicts = {a: b/a, c: d/c}
y = max(dicts, key=dicts.get)
print(y)",0.55
7,"수정의 색연필 길이는 6.1센티미터, 볼펜 길이는 6.5센티미터다. 둘 중 어느 것이 더 길까요?","dicts = {""색연필"": 6.1, ""볼펜"": 6.5}
y = max(dicts, key=dicts.get)
print(y)",볼펜
1,12개의 자전거 모두에 몇 개의 바퀴가 있는지 알아보십시오.,"a = 2
b = 12
y = a * b
print(y)",24
1,"진호가 가지고 있는 줄자의 길이는 6m 15cm이고, 두은이 가지고 있는 줄자의 길이는 0.25m입니다. 진호와 두은이 가지고 있는 줄자의 길이의 합을 센티미터로 구하십시오.","a = (6 * 100) + 15
b = (0.25 * 100)
y = a + b
print(y)",640
1,영화는 5시에 시작하여 4시간 동안 진행되었습니다. 영화가 몇시에 끝나나요?,"a = 5
b = 4
y = a + b
print(y)",9
1,형규는 하루에 10L의 물을 사용합니다. 수압밸브를 약하게 조절하면 평소의 0.3배의 물을 절약할 수 있습니다. 수압밸브가 약하게 조절되면 형규는 하루에 몇 리터의 물을 절약할 수 있을까요?,"a = 10
b = 0.3
y = a * b
print(y)",3
1,숫자에 3을 곱하여 15가 되면 그 수는 무엇입니까?,"a = 15
b = 3
y = a / b
print(y)",5
8,네 변의 길이의 합이 40m인 정사각형이 있습니다. 그 안에 그릴 수 있는 가장 큰 원의 넓이를 cm²로 구하십시오. (둘레: 3.14),"a = 40
b = 4
c = a / b
d = 3.14
y = (c / 2) ** 2 * d
print(y)",78.50
8,네 변의 길이의 합이 88cm인 정사각형의 한 변의 길이는 얼마입니까?,"a = 88
y = a / 4
print(y)",22
5,수진은 식빵을 5등분해서 하나씩 먹었다. 미애는 같은 크기의 빵을 20조각으로 나눴다. 미애가 정희와 같은 양을 먹으려면 몇 조각을 먹어야 하는지 알아보세요.,"a = 5
b = 1
c = 20
y = b * c / a
print(y)",4
