class,problem,code,answer
8,한 변의 길이가 24cm인 정육각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm인지 구하시오.,"a = 24
b = 6
c = 8
y = a * b / c
print(y)",18
1,윤아는 부추전을 똑같이 8조각으로 나누어 한 조각을 먹었습니다. 윤미는 같은 크기의 부추전을 똑같이 16 조각으로 나누었습니다. 윤아와 같은 양을 먹으려면 윤미는 몇 조각을 먹어야 할까요?,"a = 8
b = 16
y = b / a
print(y)",2
8,"화단 주변에 한 변이 12m인 정팔각형 모양의 울타리를 두른다면, 울타리는 모두 몇 m일까요?","a = 12
b = 8
y = a * b
print(y)",96
3,"6장의 숫자 카드 0, 9, 8, 7, 2, 1가 있습니다. 이를, 한 번씩 사용하여 가장 큰 여섯 자리 수를 만들어 쓰시오.","from itertools import permutations

a = ['0', '9', '8', '7', '2', '1']
y = max(list(map(''.join, permutations(a, 6))))
print(y)",987210
1,0.26 x 0.8을 계산해 주세요.,"a = 0.26
b = 0.8
y = a * b
print(y)",0.21
7,어떤 수를 3으로 나누어야 하는 것을 잘못하여 9로 나누었더니 몫이 9가 되었습니다. 바르게 계산하면 얼마인지 구하시오.,"a = 4 / 5
b = 1 / 3
c = 0.9
dicts = {'미용실': a, '병원': b, '백화점': c}
y = min(dicts, key=dicts.get)
print(y)",병원
6,어떤 수를 3으로 나누어야 하는 것을 잘못하여 9로 나누었더니 몫이 9가 되었습니다. 바르게 계산하면 얼마인지 구하시오.,"a = 3
b = 9
c = 9
y = c * b / a
print(y)",27
1,"나은이네 모둠과 도진이네 모둠이 전철를 나누어 탔습니다. 나은이네 모둠 8명은 15인승 칸에 탔고, 도진이네 모둠 6명은 11인승 칸에 탔습니다. 더 넓게 느껴졌을 모둠의 전철 인승에 대한 모둠 인원 수를 구하세요.","a = 8
b = 15
c = 6
d = 11
dicts = {a: b/a, c: d/c}
y = max(dicts, key=dicts.get)
print(y)",8
7,"수정이가 가지고 있는 색연필의 길이는 6.1센티미터 , 볼펜의 길이는 6.5센티미터입니다. 둘중 어떤것이 더 길이가 긴가요?","dicts = {""색연필"": 6.1, ""볼펜"": 6.5}
y = max(dicts, key=dicts.get)
print(y)",볼펜
1,두발자전거 12대의 바퀴는 모두 몇 개인지 찾아보시오.,"a = 2
b = 12
y = a * b
print(y)",24
1,진호가 가진 줄자의 길이는 6m 15 cm 이고 두은이가 가진 줄자의 길이는 0.25 m입니다. 진호와 두은이가 가진  줄자의 길이 합은 몇 cm인지 구해 보세요.,"a = (6 * 100) + 15
b = (0.25 * 100)
y = a + b
print(y)",640
1,영화가 5시에 시작하여 4시간 동안 하였습니다. 영화가 끝난 시각은 몇 시일까요?,"a = 5
b = 4
y = a + b
print(y)",9
1,"현규는 하루에 물을 10L사용합니다. 수압 밸브를 약하게 조절하면 평소 사용량의 0.3배만큼 아낄 수 있다면, 수압 밸브를 약하게 조절했을 때 현규가 하루 동안 아낄 수 있는 물은 몇 L인가요?","a = 10
b = 0.3
y = a * b
print(y)",3
1,"어떤 수에 3을 곱했더니 15가 되었다면, 어떤 수는 얼마입니까?","a = 15
b = 3
y = a / b
print(y)",5
8,네변의 길이의 합이 40m인 정사각형이 있습니다. 이 안에 그릴 수 있는 가장 큰 원의 넓이는 몇 cm²인지 구해보시오. (원주율: 3.14),"a = 40
b = 4
c = a / b
d = 3.14
y = (c / 2) ** 2 * d
print(y)",78.50
8,네 변의 길이의 합이 88 cm인 정사각형의 한 변의 길이는 몇 cm일까요?,"a = 88
y = a / 4
print(y)",22
5,수진이는 빵을 똑같이 5조각으로 나눈 후 그중 한 조각을 먹었습니다. 미애가 같은 크기의 빵을 20조각으로 나누었습니다. 정희와 같은 양을 먹으려면 미애는 몇 조각을 먹어야 하는지 구해 보세요.,"a = 5
b = 1
c = 20
y = b * c / a
print(y)",4
4,"16. 20. 35, 17 중 가장 많은 약수를 가진 수의 약수는 몇 개 인지 구해보시오.","a = [16, 20, 35, 17]
b = []
y = 0
for i in a:
    c = 0
    for t in range(1, i + 1):
        if i % t == 0:
            c += 1
    b.append(c)
y = max(b)
print(y)",6
6,어떤 수에 5를 곱해야 할 것을 잘못하여 9로 나누었더니 3이 되었습니다. 바르게 계산해보세요.,"a = 5
b = 9
c = 3
y = (c * b) * a
print(y)",135
8,원 A의 지름은 20센티미터입니다. 원 B의 지름은 원 A의 반지름과 같습니다. 원 A의 반지름과 원 B의 반지름의 차는 몇 센티미터 입니까?,"a = 20
b = a / 2
y = a / 2 - b / 2
print(y)",5
4,"53, 19, 43, 6 중 가장 큰 수와 가장 작은 수의 곱을 구한 값을 구하시오.","a = [53, 19, 43, 6]
b = max(a)
c = min(a)
y = b * c
print(y)",318
5,"민우네 가족은 사과를 땄습니다. 동생은 4.3 kg 을 땄고, 누나는 동생보다 6.2 kg 더 많이 땃습니다. 민우는 누나가 캔 고구마의 무게의 0.2보다 3310 g 더 많이 캤다면 민우가 캔 고구마는 몇 kg 입 니까?","a = 4.3
b = 6.2
c = a + b
d = 0.2
e = 3.31
y = e + c * d
print(y)",5.41
1,금 네 돈의 무게는 22.5g입니다. 금 한 돈의 무게는 몇 g인지 구하시오.,"a = 4
b = 22.5
y = b / a
print(y)",5.62
1,1 분에 20km를 가는 기차와 10분에 5km를 가는 버스가 있습니다. 각각 같은 빠르기로 50분 동안 간다면 기차는 버스보다 몇 k미터를 더 갈 수 있습니까?,"a = 1
b = 20
c = 10
d = 5
e = 50
y = (e / a * b) - (e / c * d)
print(y)",975.0
5,"어떤 수에 30를 더한 후 5로 나누고, 3를 뺀 값에 2를 곱한 값이 12라면, 어떤 수는 얼마일까요?","a = 30
b = 5
c = 3
d = 2
e = 12
y = (e / d + c) * b - a
print(y)",15
1,민규는 운동장에서 둘레가 1.57m인 굴렁쇠를 11바퀴 굴렸습니다. 민규가 굴렁쇠를 움직인 거리는 몇 m일까요?,"a = 1.57
b = 11
y = a * b
print(y)",17.27
4,"22, 74, 20가 있습니다. 이 중에서 가장 큰 수와 가장 작은 수를 뺀 값은 몇입니까?","a = [68, 92, 15]
y = max(a) - min(a)
print(y)",77
1,학생들이 운동장에서 한 줄에 7명씩 26줄로 서 있습니다. 줄을 선 학생은 모두 몇 명일까요?,"a = 26
b = 7
y = a * b
print(y)",182
5,36을 어떤 수로 나누었더니 9로 나누어 떨어졌습니다. 어떤 수는 얼마인지 구하시오. ,"a = 36
b = 9
y = a / b
print(y)",4
1,지우개가 한 상자에 45 개씩 8 상자 있습니다. 지우개는 총 몇 개 있을까요?,"a = 45
b = 8
y = a * b
print(y)",360
1,올해 지민이의 나이는 8살이고 오빠의 나이는 14살입니다. 지민이가 20살이면 오빠는 몇 살일까요?,"a = 8
b = 14
c = 20
y = b - a + c
print(y)",26
7,"명숙이네 학교 여학생은 451명, 남학생은 400명 있다면, 명숙이네 학교에는 남학생과 여학생 중 누가 더 많은지 구하세요.","a = 451
b = 400
dicts = {""여학생"": a, ""남학생"": b}
y = max(dicts, key=dicts.get)
print(y)",여학생
6,어떤 수에 23을 곱해야 하는데 실수로 40을 빼었더니 72가 되었습니다. 바르게 계산해 보세요.,"a = 23
b = 40
c = 72
y = (c + b) * a 
print(y)",2576
1,사탕이 한 봉지에 25개씩 들어 있습니다. 62봉지에 들어 있는 사탕은 모두 몇 개일 지 계산해보세요.,"a = 25
b = 62
y = a * b
print(y)",1550
8,직사각형의 넓이가 20km²이고 세로가 4km라고 합니다. 이 직사각형의 가로는 몇 m인가요?,"a = 20
b = 4
y = a / b * 1000
print(y)",5000
5,100 - 200 - 300 - 400과 같은 규칙으로 500에서 5번 뛰어 센 수를 구해보시오.,"a = 200
b = 100
c = a - b
d = 500
y = d + c * 5
print(y)",1000
1,농구공 18개를 보관함 3개에 똑같이 나누어 담으려고 합니다. 보관함 1개에 농구공을 몇 개씩 담을 수 있습니까?,"a = 18
b = 3
y = int(a / b)
print(y)",6
4,"각도 80°, 70°, 65°가 있습니다. 이중에서, 가장 큰 각도와 가장 작은 각도의 차를 구하시오.","a = [80, 70, 65]
y = max(a) - min(a)
print(y)",15
2,"진희, 희정, 윤빈, 정현이가 순서대로 줄을 서 있습니다. 4번째에 서 있는 사람은 누구인가요?","a = ['진희', '희정', '윤빈', '정현']
b = 4
y = a[b - 1]
print(y)",정현
1,"빨간색 끈의 길이는 6.5m이고 초록색 끈의 길이는 3.4m입니다. 빨간색 끈의 길이는 초록색 끈의 길이의 몇 배인지 구하고, 반올림하여 소수 둘째 자리까지 나타내시오..","a = 6.5
b = 3.4
y = a / b
print(""{:.2f}"".format(y))",1.91
8,넓이가 32.68센티미터인 원의 반지름의 길이가 다섯 배가 될 경우 둘레는 몇 센티미터인가요?,"import math

a = 32.68
b = 5
c = math.pi
y = (((a ** 0.5) / c) * b * c * 2) 
print(y)",57.17
1,승준이는 우유를 매일 0.7L씩 마십니다. 승준이가 5일 동안 마실 우유를 준비하려면 1L짜리 우유를 적어도 몇 개 구매해야할까요?,"from math import ceil

a = 0.7
b = 5
c = 1
y = ceil(a * b / c)
print(y)",4
8,한 변의 길이가 84/8cm인 정사각형이 있습니다. 이 정사각형의 둘레는 몇 cm인지 구하시오.,"a = 84/8
b = 4
y = a * b
print(y)",42
1,"학교 체육관에 남학생이 25명, 여학생이 21명 있었는데 이 중에서 13명이 교실로 들어갔습니다. 체육관에 남아 있는 학생은 몇 명일까요?","a = 25
b = 21
c = 13
y = a + b - c
print(y)",33
1,자동차 한 대를 주차하는 데 1/2 시간에 4500 원이라고 합 니다. 자동차 4 대를 2 시간 동안 주차하고 주차료를 8 사람이 똑같이 나누어 내기로 했다면 한 사람이 내야하는 금액은 얼마일까요?,"a = 1/2
b = 4500
c = 4
d = 2
e = 8
y = b / a * c * d / e
print(y)",9000
6,어떤 수를 3으로 나누어야 할 것을 실수로 4를 뺐더니 23이 되었습니다. 바르게 계산하면 얼마입니까?,"a = 3
b = 4
c = 23
y = (c + b) / a 
print(y)",9
8,넓이가 50센티미터제곱인 마름모의 한 대각선이 10cm일 때 다른 대각선은 몇 cm 입니까?,"a = 50
b = 10
y = a * 2 / b
print(y)",10
4,"4.24, 2.36, 4.8 중 가장 큰 수와 가장 작은 수의 합은 얼마입니까?","a = [4.24, 2.36, 4.8]
b = max(a)
c = min(a)
y = b + c
print(y)",7.16
1,"학교에서 세훈이네 집까지의 거리는 학교에서 승호네 집 까지의 거리의 3 배라고합니다. 학교에서 세훈이네 집까지의 거리가 9.3 km 일 때, 학교에서 승호네 집까지의 거리는 몇 km 입니까?","a = 9.3
b = 3
y = a / b
print(y)",3.10
8,원 안에 마름모의 넓이가 90cm²일 때 원의 반지름은 몇 cm일까요?,"a = 90
y = (a * 2) ** (1 / 2) / 2
print(y)",6.708203932499369
1,"사과 250개를 한 상자에 10개씩 담아 팔려고 한다면, 몇 상자를 팔 수 있는지 구하시오.","a = 250
b = 10
y = a // b
print(y)",25
8,"직사각형의 가로 길이가 30cm, 세로 길이가 20cm이라면, 이 직사각형의 넓이는 몇 cm²입니까?","a = 30
b = 20
y = a * b
print(y)",600
8,"원 모양의 탁자가 있습니다. 탁자의 지름이 30cm이라면, 탁자의 넓이는 몇 cm^2인가요? 원주율은 3.14로 계산합니다.","a = 30
b = 3.14
c = 2
y = (a / c) * (a / c) * b    
print(y)",706.50
1,746 - 246를 계산해보세요.,"a = 746
b = 246
y = a - b
print(y)",500
1,블록을 쌓아 성을 지으려고 합니다. 한 층을 만드는 데 블록 20개가 필요합니다. 3층짜리 성을 만들기 위해서는 블록 몇 개가 필요합니까?,"a = 20
b = 3
y = a * b
print(y)",60
1,윤성이는 사탕을 한 봉지에 10개씩 16봉지 담아서 4명에게 똑같이 나누어 주었습니다. 한 사람이 가지게 되는 사탕은 몇 개인가요?,"a = 10
b = 16
c = 4
y = a * b // c
print(y)",40
8,"밑변이 10센티미터, 윗변이 2센티미터, 높이가 5센티미터인 사다리꼴이 있습니다. 사다리꼴의 넓이를 구하세요.","a = 10
b = 2
c = 5
y = (a + b) * c / 2
print(y)",30
8,네 변의 길이의 합이 88cm 인 직사각형의 가로가 32cm 라면 세로는 몇 cm 입니까?,"a = 88
b = 32
y = (a - b * 2) / 2
print(y)",12
