class,problem,code,answer
8,한 변의 길이가 24cm인 정육각형과 주위의 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm이어야 합니다.,"a = 24
b = 6
c = 8
y = a * b / c
print(y)",18
1,윤아는 부추전을 똑같이 8개로 나누어 한 조각을 먹었다. 윤미는 같은 크기의 부치전을 똑같이 16개로 나누었다. 윤아와 같은 양을 먹기 위해서는 윤미는 몇 개 먹어야 하나요?,"a = 8
b = 16
y = b / a
print(y)",2
8,화단 주위에 1변 12m의 정8각형 울타리를 놓으면 울타리는 모두 m입니까?,"a = 12
b = 8
y = a * b
print(y)",96
3,"6장의 숫자 카드 0, 9, 8, 7, 2, 1이 있습니다. 이것을 한 번씩 사용하여 최대 6자리 숫자를 만듭니다.","from itertools import permutations

a = ['0', '9', '8', '7', '2', '1']
y = max(list(map(''.join, permutations(a, 6))))
print(y)",987210
1,0.26 x 0.8을 계산합니다.,"a = 0.26
b = 0.8
y = a * b
print(y)",0.21
7,"현수네 집에서 미용실, 병원, 백화점까지의 거리는 각각 4/5km, 1/3km, 0.9km입니다. 현수 집에서 가장 가까운 곳은 어디입니까?","a = 4 / 5
b = 1 / 3
c = 0.9
dicts = {'미용실': a, '병원': b, '백화점': c}
y = min(dicts, key=dicts.get)
print(y)",병원
6,"어떤 수를 3으로 나누어야 하는 것을 잘못 9로 나눈 결과, 몫이 9가 되었습니다. 정확하게 계산하면 얼마를 구하십시오.","a = 3
b = 9
c = 9
y = c * b / a
print(y)",27
1,"나운이네모담과 도진진네모움이 전철을 나눠 탔다. 나운이네모담 8명은 15인승 칸을 타고, 도진진 네모담 6명은 11인승 칸을 탈 수 있었다. 보다 넓게 느껴진 것 같은 모임의 기차 인승을 위한 모임 인원수를 요구해 주세요.","a = 8
b = 15
c = 6
d = 11
dicts = {a: b/a, c: d/c}
y = max(dicts, key=dicts.get)
print(y)",8
7,"크리스탈이 가진 색연필의 길이는 6.1cm, 볼펜의 길이는 6.5cm입니다. 둘 다 길어질까요?","dicts = {""색연필"": 6.1, ""볼펜"": 6.5}
y = max(dicts, key=dicts.get)
print(y)",볼펜
1,2족 자전거 12대의 휠은 모두 몇 명을 찾아보세요.,"a = 2
b = 12
y = a * b
print(y)",24
1,진주가 가진 줄기의 길이는 6m 15cm이고 두운이 가진 줄기의 길이는 0.25m입니다. 진호와 두운이 가지고 있는 두루마리의 길이의 합계는 몇 센티미터를 구해 보세요.,"a = (6 * 100) + 15
b = (0.25 * 100)
y = a + b
print(y)",640
1,영화는 5시에 시작하여 4시간 동안 진행되었습니다. 영화가 끝난 시간은 몇시입니까?,"a = 5
b = 4
y = a + b
print(y)",9
