,class,problem,code,answer
157,1,양동이에 들어있는 20리터의 물의 1/4를 나무에 물을 주는 데 사용했다면 남은 물의 양은 몇 리터인가요?,"a = 20
b = 1/4
y = a * (1 - b)
print(y)",15.0
1647,1,"세형이는 시골에 가는 데 기차를 2시간 동안 타고, 버스를 3시간 동안 타고 갔습니다. 시골에 도착한 시각이 오후 9시였다면 집에서 출발한 시각은 오후 몇 시입니까?","a = 2
b = 3
c = 9
y = c - (a + b)
print(y)",4
219,8,"가로가 7cm, 세로가 9cm인 직사각형이 있습니다. 이 직사각형의 넓이를 구하세요.","a = 7
b = 9
y = a * b
print(y)",63
860,8,"원 A의 지름은 24cm이고 원 B의 지름은 원 A의 반지름과 같습니다. 이때, 원 B의 반지름은 몇 cm입니까?","a = 24
b = a / 2
y = b / 2
print(y)",6.0
1307,6,어떤 수에다가 5를 곱하고 3을 더한 후 17을 빼면 36입니다. 어떤 수를 구하세요.,"a = 5
b = 3
c = 17
d = 36
y = (d + c - b) / a
print(y)",10.0
2115,3,"숫자 카드 1, 5, 7, 8, 6을 한 번씩 사용하여 만들 수 있는 다섯 자리 수 중 가장 큰 수를 구하시오.","from itertools import permutations

a = ['1', '5', '7', '8', '6']
y = int(max(map(''.join, permutations(a, 5))))
print(y)",87651
2613,3,"4장의 숫자 카드 3, 5, 2, 7가 있습니다. 카드를 한 번씩만 사용하여 2개의 두 자리 수를 만들었습니다. 두 수를 곱할 때, 가장 작은 곱을 계산하세요.","from itertools import permutations

a = ['3', '5', '2', '7']
b = list(map(''.join, permutations(a)))
c = []
for i in b:
    d = int(i[:2])
    e = int(i[2:])
    c.append(d * e)
y = min(c)
print(y)",925
1989,1,"딸기가 2.5 kg 있었는데, 어제는 0.8 kg 을 먹고 오늘은 0.3 kg 을 먹었습니다. 남은 딸기는 몇 kg 입니까?","a = 2.5
b = 0.8
c = 0.3
y = a - b - c
print(y)",1.4
961,3,"4장의 수 카드 2 , 5 , 6 , 9가 있습니다. 이중에서, 2장을 뽑아 A.B 형태의 소수를 만들려고 한다면, 만들 수 있는 소수 중에서 가장 큰 수와 가장 작은 수의 합을 구하세요.","from itertools import permutations

a = ['2', '5', '6', '9']
b = int(max(map(''.join, permutations(a, 2)))) / 10
c = int(min(map(''.join, permutations(a, 2)))) / 10
y = b + c
print(y)",12.1
1146,1,타율은 전체 타수에 대한 안타의 수입니다. 야구 선수 현수의 작년 평균 타율은 46%입니다. 현수가 작년에 안타를 92개를 쳤다면 전체 타수는 몇 타수인가요?,"a = 46
b = 92
y = int(b / a * 100)
print(y)",200
