,Unnamed: 0,class,problem,code,answer
0,0,8,한 변의 길이가 50cm인 정육각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm인지 구하시오.,"a = 50
b = 6
c = 8
y = a * b / c
print(y)",18
1,1,1,윤아는 부추전을 똑같이 8조각으로 나누어 한 조각을 먹었습니다. 윤미는 같은 크기의 부추전을 똑같이 19 조각으로 나누었습니다. 윤아와 같은 양을 먹으려면 윤미는 몇 조각을 먹어야 할까요?,"a = 8
b = 19
y = b / a
print(y)",2
2,2,8,"화단 주변에 한 변이 12m인 정팔각형 모양의 울타리를 두른다면, 울타리는 모두 몇 m일까요?","a = 12
b = 8
y = a * b
print(y)",96
3,3,3,"8장의 숫자 카드 0, 9, 9, 9, 1, 1가 있습니다. 이를, 한 번씩 사용하여 가장 큰 여섯 자리 수를 만들어 쓰시오.","from itertools import permutations

a = ['0', '9', '9', '9', '1', '1']
y = max(list(map(''.join, permutations(a, 8))))
print(y)",987210
4,4,1,0.36 x 0.9을 계산해 주세요.,"a = 0.36
b = 0.9
y = a * b
print(y)",0.21
5,5,7,어떤 수를 3으로 나누어야 하는 것을 잘못하여 6로 나누었더니 몫이 9가 되었습니다. 바르게 계산하면 얼마인지 구하시오.,"a = 4 / 5
b = 1 / 3
c = 0.6
dicts = {'미용실': a, '병원': b, '백화점': c}
y = min(dicts, key=dicts.get)
print(y)",병원
6,6,6,어떤 수를 3으로 나누어야 하는 것을 잘못하여 9로 나누었더니 몫이 9가 되었습니다. 바르게 계산하면 얼마인지 구하시오.,"a = 3
b = 9
c = 9
y = c * b / a
print(y)",27
7,7,1,"나은이네 모둠과 도진이네 모둠이 전철를 나누어 탔습니다. 나은이네 모둠 7명은 10인승 칸에 탔고, 도진이네 모둠 5명은 22인승 칸에 탔습니다. 더 넓게 느껴졌을 모둠의 전철 인승에 대한 모둠 인원 수를 구하세요.","a = 7
b = 10
c = 5
d = 22
dicts = {a: b/a, c: d/c}
y = max(dicts, key=dicts.get)
print(y)",8
8,8,7,"수정이가 가지고 있는 색연필의 길이는 7.1센티미터 , 볼펜의 길이는 5.9센티미터입니다. 둘중 어떤것이 더 길이가 긴가요?","dicts = {""색연필"": 7.1, ""볼펜"": 5.9}
y = max(dicts, key=dicts.get)
print(y)",볼펜
9,9,1,두발자전거 15대의 바퀴는 모두 몇 개인지 찾아보시오.,"a = 2
b = 15
y = a * b
print(y)",24
10,10,1,진호가 가진 줄자의 길이는 7m 34 cm 이고 두은이가 가진 줄자의 길이는 0.22 m입니다. 진호와 두은이가 가진  줄자의 길이 합은 몇 cm인지 구해 보세요.,"a = (7 * 100) + 34
b = (0.22 * 100)
y = a + b
print(y)",640
11,11,1,영화가 5시에 시작하여 7시간 동안 하였습니다. 영화가 끝난 시각은 몇 시일까요?,"a = 5
b = 7
y = a + b
print(y)",9
12,12,1,"현규는 하루에 물을 10L사용합니다. 수압 밸브를 약하게 조절하면 평소 사용량의 0.2배만큼 아낄 수 있다면, 수압 밸브를 약하게 조절했을 때 현규가 하루 동안 아낄 수 있는 물은 몇 L인가요?","a = 10
b = 0.2
y = a * b
print(y)",3
13,13,1,"어떤 수에 1을 곱했더니 10가 되었다면, 어떤 수는 얼마입니까?","a = 10
b = 1
y = a / b
print(y)",5
14,14,8,네변의 길이의 합이 19m인 정사각형이 있습니다. 이 안에 그릴 수 있는 가장 큰 원의 넓이는 몇 cm²인지 구해보시오. (원주율: 4.14),"a = 19
b = 4
c = a / b
d = 4.14
y = (c / 2) ** 2 * d
print(y)",78.50
15,15,8,네 변의 길이의 합이 73 cm인 정사각형의 한 변의 길이는 몇 cm일까요?,"a = 73
y = a / 4
print(y)",22
16,16,5,수진이는 빵을 똑같이 3조각으로 나눈 후 그중 한 조각을 먹었습니다. 미애가 같은 크기의 빵을 22조각으로 나누었습니다. 정희와 같은 양을 먹으려면 미애는 몇 조각을 먹어야 하는지 구해 보세요.,"a = 3
b = 1
c = 22
y = b * c / a
print(y)",4
17,17,4,"48. 59. 59, 16 중 가장 많은 약수를 가진 수의 약수는 몇 개 인지 구해보시오.","a = [48, 59, 59, 16]
b = []
y = 0
for i in a:
    c = 0
    for t in range(1, i + 1):
        if i % t == 0:
            c += 1
    b.append(c)
y = max(b)
print(y)",6
18,18,6,어떤 수에 3를 곱해야 할 것을 잘못하여 9로 나누었더니 3이 되었습니다. 바르게 계산해보세요.,"a = 3
b = 9
c = 3
y = (c * b) * a
print(y)",135
19,19,8,원 A의 지름은 44센티미터입니다. 원 B의 지름은 원 A의 반지름과 같습니다. 원 A의 반지름과 원 B의 반지름의 차는 몇 센티미터 입니까?,"a = 44
b = a / 2
y = a / 2 - b / 2
print(y)",5
20,20,4,"84, 30, 37, 9 중 가장 큰 수와 가장 작은 수의 곱을 구한 값을 구하시오.","a = [84, 30, 37, 9]
b = max(a)
c = min(a)
y = b * c
print(y)",318
21,21,5,"민우네 가족은 사과를 땄습니다. 동생은 4.3 kg 을 땄고, 누나는 동생보다 6.2 kg 더 많이 땃습니다. 민우는 누나가 캔 고구마의 무게의 0.2보다 3310 g 더 많이 캤다면 민우가 캔 고구마는 몇 kg 입 니까?","a = 4.3
b = 6.2
c = a + b
d = 0.2
e = 3.31
y = e + c * d
print(y)",5.41
22,22,1,금 네 돈의 무게는 18.5g입니다. 금 한 돈의 무게는 몇 g인지 구하시오.,"a = 4
b = 18.5
y = b / a
print(y)",5.62
